filepath,sample_rate,datatype,frequency
demod_train\CommSignal2\CommSignal2_demod_train_0000.sigmf-meta,25000000.0,cf32_le,2437000000.0
demod_train\CommSignal2\CommSignal2_demod_train_0001.sigmf-meta,25000000.0,cf32_le,2437000000.0
demod_train\CommSignal2\CommSignal2_demod_train_0002.sigmf-meta,25000000.0,cf32_le,2437000000.0
demod_train\CommSignal2\CommSignal2_demod_train_0003.sigmf-meta,25000000.0,cf32_le,2437000000.0
demod_train\CommSignal2\CommSignal2_demod_train_0004.sigmf-meta,25000000.0,cf32_le,2437000000.0
demod_train\CommSignal2\CommSignal2_demod_train_0005.sigmf-meta,25000000.0,cf32_le,2437000000.0
demod_train\CommSignal2\CommSignal2_demod_train_0006.sigmf-meta,25000000.0,cf32_le,2437000000.0
demod_train\CommSignal2\CommSignal2_demod_train_0007.sigmf-meta,25000000.0,cf32_le,2437000000.0
demod_train\CommSignal2\CommSignal2_demod_train_0008.sigmf-meta,25000000.0,cf32_le,2437000000.0
demod_train\CommSignal2\CommSignal2_demod_train_0009.sigmf-meta,25000000.0,cf32_le,2437000000.0
demod_train\CommSignal2\CommSignal2_demod_train_0010.sigmf-meta,25000000.0,cf32_le,2437000000.0
demod_train\CommSignal2\CommSignal2_demod_train_0011.sigmf-meta,25000000.0,cf32_le,2437000000.0
demod_train\CommSignal2\CommSignal2_demod_train_0012.sigmf-meta,25000000.0,cf32_le,2437000000.0
demod_train\CommSignal2\CommSignal2_demod_train_0013.sigmf-meta,25000000.0,cf32_le,2437000000.0
demod_train\CommSignal2\CommSignal2_demod_train_0014.sigmf-meta,25000000.0,cf32_le,2437000000.0
demod_train\CommSignal2\CommSignal2_demod_train_0015.sigmf-meta,25000000.0,cf32_le,2437000000.0
demod_train\CommSignal2\CommSignal2_demod_train_0016.sigmf-meta,25000000.0,cf32_le,2437000000.0
demod_train\CommSignal2\CommSignal2_demod_train_0017.sigmf-meta,25000000.0,cf32_le,2437000000.0
demod_train\CommSignal2\CommSignal2_demod_train_0018.sigmf-meta,25000000.0,cf32_le,2437000000.0
demod_train\CommSignal2\CommSignal2_demod_train_0019.sigmf-meta,25000000.0,cf32_le,2437000000.0
demod_train\CommSignal2\CommSignal2_demod_train_0020.sigmf-meta,25000000.0,cf32_le,2437000000.0
demod_train\CommSignal2\CommSignal2_demod_train_0021.sigmf-meta,25000000.0,cf32_le,2437000000.0
demod_train\CommSignal2\CommSignal2_demod_train_0022.sigmf-meta,25000000.0,cf32_le,2437000000.0
demod_train\CommSignal2\CommSignal2_demod_train_0023.sigmf-meta,25000000.0,cf32_le,2437000000.0
demod_train\CommSignal2\CommSignal2_demod_train_0024.sigmf-meta,25000000.0,cf32_le,2437000000.0
demod_train\CommSignal2\CommSignal2_demod_train_0025.sigmf-meta,25000000.0,cf32_le,2437000000.0
demod_train\CommSignal2\CommSignal2_demod_train_0026.sigmf-meta,25000000.0,cf32_le,2437000000.0
demod_train\CommSignal2\CommSignal2_demod_train_0027.sigmf-meta,25000000.0,cf32_le,2437000000.0
demod_train\CommSignal2\CommSignal2_demod_train_0028.sigmf-meta,25000000.0,cf32_le,2437000000.0
demod_train\CommSignal2\CommSignal2_demod_train_0029.sigmf-meta,25000000.0,cf32_le,2437000000.0
demod_train\CommSignal2\CommSignal2_demod_train_0030.sigmf-meta,25000000.0,cf32_le,2437000000.0
demod_train\CommSignal2\CommSignal2_demod_train_0031.sigmf-meta,25000000.0,cf32_le,2437000000.0
demod_train\CommSignal2\CommSignal2_demod_train_0032.sigmf-meta,25000000.0,cf32_le,2437000000.0
demod_train\CommSignal2\CommSignal2_demod_train_0033.sigmf-meta,25000000.0,cf32_le,2437000000.0
demod_train\CommSignal2\CommSignal2_demod_train_0034.sigmf-meta,25000000.0,cf32_le,2437000000.0
demod_train\CommSignal2\CommSignal2_demod_train_0035.sigmf-meta,25000000.0,cf32_le,2437000000.0
demod_train\CommSignal2\CommSignal2_demod_train_0036.sigmf-meta,25000000.0,cf32_le,2437000000.0
demod_train\CommSignal2\CommSignal2_demod_train_0037.sigmf-meta,25000000.0,cf32_le,2437000000.0
demod_train\CommSignal2\CommSignal2_demod_train_0038.sigmf-meta,25000000.0,cf32_le,2437000000.0
demod_train\CommSignal2\CommSignal2_demod_train_0039.sigmf-meta,25000000.0,cf32_le,2437000000.0
demod_train\CommSignal2\CommSignal2_demod_train_0040.sigmf-meta,25000000.0,cf32_le,2437000000.0
demod_train\CommSignal2\CommSignal2_demod_train_0041.sigmf-meta,25000000.0,cf32_le,2437000000.0
demod_train\CommSignal2\CommSignal2_demod_train_0042.sigmf-meta,25000000.0,cf32_le,2437000000.0
demod_train\CommSignal2\CommSignal2_demod_train_0043.sigmf-meta,25000000.0,cf32_le,2437000000.0
demod_train\CommSignal2\CommSignal2_demod_train_0044.sigmf-meta,25000000.0,cf32_le,2437000000.0
demod_train\CommSignal2\CommSignal2_demod_train_0045.sigmf-meta,25000000.0,cf32_le,2437000000.0
demod_train\CommSignal2\CommSignal2_demod_train_0046.sigmf-meta,25000000.0,cf32_le,2437000000.0
demod_train\CommSignal2\CommSignal2_demod_train_0047.sigmf-meta,25000000.0,cf32_le,2437000000.0
demod_train\CommSignal2\CommSignal2_demod_train_0048.sigmf-meta,25000000.0,cf32_le,2437000000.0
demod_train\CommSignal2\CommSignal2_demod_train_0049.sigmf-meta,25000000.0,cf32_le,2437000000.0
